City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Yangi Marg`ilon,40.43,71.72,37.4,44,99,6.93,UZ,1604195577
Kholodnyy,62.72,147.95,10.24,92,86,1.97,RU,1604195763
Hays,30.05,-98.03,60.01,70,0,5.91,US,1604195763
Tezu,27.92,96.17,72.25,73,100,0.27,IN,1604195763
Ostrovnoy,68.05,39.51,27.72,95,100,19.66,RU,1604195763
Vuktyl,63.86,57.31,32.22,97,100,11.12,RU,1604195764
Kruisfontein,-34.0,24.73,57.99,91,0,1.01,ZA,1604195764
Lüderitz,-26.65,15.16,61.56,55,0,17.92,NA,1604195125
Aswān,24.09,32.91,71.26,60,0,5.88,EG,1604195764
Hasaki,35.73,140.83,63.0,59,40,6.93,JP,1604195725
Luanda,-8.84,13.23,77.0,88,75,5.82,AO,1604195624
Bredasdorp,-34.53,20.04,48.2,93,9,4.7,ZA,1604195647
Chabahar,25.29,60.64,71.85,32,0,5.17,IR,1604195765
Ripoll,42.2,2.19,52.0,62,8,1.01,ES,1604195765
Jacareacanga,-6.22,-57.75,81.32,60,99,1.54,BR,1604195765
Djambala,-2.54,14.75,67.57,98,100,2.59,CG,1604195765
Fonte Boa,-2.5,-66.27,71.2,97,100,1.86,BR,1604195766
Bambous Virieux,-20.34,57.76,68.0,72,40,9.17,MU,1604195766
Antofagasta,-23.65,-70.4,59.0,82,90,9.17,CL,1604195542
Anadyr,64.75,177.48,8.6,84,20,6.71,RU,1604195766
Krasnoturansk,54.32,91.56,28.4,92,100,2.24,RU,1604195766
Butaritari,3.07,172.79,81.75,76,100,14.38,KI,1604195766
Jiaozuo,35.24,113.23,66.45,24,81,5.26,CN,1604195767
Yar-Sale,66.83,70.83,26.19,97,36,12.21,RU,1604195767
Sterling,39.01,-77.43,45.0,75,90,4.7,US,1604195767
Padang,-0.95,100.35,76.6,89,100,7.54,ID,1604195767
Sørland,67.67,12.69,45.77,70,100,25.99,NO,1604195767
Amapá,1.0,-52.0,77.14,81,0,4.0,BR,1604195767
Castro,-24.79,-50.01,51.84,95,54,7.92,BR,1604195768
Praia,14.92,-23.51,75.2,78,0,18.34,CV,1604195768
Bandarbeyla,9.49,50.81,76.32,85,68,13.24,SO,1604195669
Guerrero Negro,27.98,-114.06,69.46,57,62,8.9,MX,1604195768
Ajdabiya,30.76,20.23,63.99,68,0,6.62,LY,1604195768
Vestmannaeyjar,63.44,-20.27,40.75,73,0,11.95,IS,1604195768
Baharly,38.44,57.43,61.09,29,0,4.41,TM,1604195769
Araouane,18.9,-3.53,81.93,15,100,7.78,ML,1604195769
Ayan,56.45,138.17,26.98,97,100,21.34,RU,1604195555
Cleveland,41.5,-81.7,46.4,52,1,16.11,US,1604195738
Vao,-22.67,167.48,74.19,82,0,14.27,NC,1604195769
Bantou,26.22,117.49,75.87,45,33,2.35,CN,1604195769
Ozinki,51.18,49.68,42.71,64,45,7.25,RU,1604195769
Zapolyarnyy,69.42,30.81,32.0,98,75,11.41,RU,1604195770
Esperance,-33.87,121.9,75.2,57,100,8.05,AU,1604195563
Flinders,-34.58,150.86,62.01,89,100,7.0,AU,1604195770
Joshīmath,30.57,79.57,53.73,35,0,3.36,IN,1604195770
Faanui,-16.48,-151.75,79.54,75,0,19.35,PF,1604195770
Taoudenni,22.68,-3.98,73.98,21,54,12.82,ML,1604195770
Hualmay,-11.1,-77.61,61.41,86,78,6.73,PE,1604195770
Katsuura,35.13,140.3,64.99,58,75,3.36,JP,1604195559
Dolzhanskaya,46.63,37.8,48.0,100,98,8.01,RU,1604195771
Okha,53.57,142.95,41.05,77,100,17.67,RU,1604195771
Aykhal,66.0,111.5,-2.2,84,0,2.24,RU,1604195591
Belyy Yar,53.6,91.39,28.4,92,95,2.24,RU,1604195771
Mokrousovo,55.81,66.77,34.54,88,100,10.65,RU,1604195772
Puerto Colombia,10.99,-74.95,82.11,78,99,5.21,CO,1604195772
Assiniboia,49.63,-105.98,26.6,68,47,8.05,CA,1604195772
Homer,59.64,-151.55,30.2,36,1,12.75,US,1604195660
Provideniya,64.38,-173.3,23.16,87,0,4.68,RU,1604195772
Hellvik,59.92,5.78,51.01,83,98,15.99,NO,1604195772
Batagay-Alyta,67.8,130.41,2.34,92,98,1.07,RU,1604195773
Natá,8.33,-80.52,73.0,91,100,50.0,PA,1604195773
Tessalit,20.2,1.01,73.54,21,1,10.29,ML,1604195773
Asău,46.43,26.4,46.4,81,69,20.8,RO,1604195671
Kropotkin,45.44,40.58,53.01,84,17,2.15,RU,1604195773
Salinas,36.68,-121.66,66.2,52,1,6.93,US,1604195774
Amberley,39.2,-84.43,50.0,74,100,6.35,US,1604195774
Saint-Joseph,-21.37,55.62,64.4,68,90,9.17,RE,1604195774
Culpeper,38.5,-77.97,48.2,70,90,3.36,US,1604195774
Parrita,9.52,-84.32,69.8,100,75,4.7,CR,1604195774
Te Anau,-45.42,167.72,51.55,75,100,5.59,NZ,1604195774
Sioux Lookout,50.1,-91.92,26.6,86,90,13.87,CA,1604195561
Kyaukse,21.6,96.13,77.0,88,75,3.36,MM,1604195775
Galesong,-5.32,119.37,85.24,61,93,3.62,ID,1604195583
Igrim,63.19,64.42,29.35,95,1,8.79,RU,1604195775
Souillac,-20.52,57.52,68.0,72,40,9.17,MU,1604195668
Naze,28.37,129.48,77.0,78,40,14.99,JP,1604195775
Sinnamary,5.38,-52.95,80.19,85,68,11.43,GF,1604195775
Fethiye,36.62,29.12,55.4,82,0,4.7,TR,1604195772
Kawalu,-7.38,108.21,82.56,67,6,3.18,ID,1604195603
Motygino,58.18,94.76,13.69,93,100,3.29,RU,1604195776
Kattivākkam,13.22,80.32,77.0,94,20,4.7,IN,1604195776
Harper,4.38,-7.72,77.49,88,68,6.93,LR,1604195776
Talara,-4.58,-81.27,64.02,88,66,14.65,PE,1604195776
Kalnibolotskaya,46.01,40.46,53.01,84,48,2.51,RU,1604195776
Balakhninskiy,58.01,114.28,14.81,84,93,3.24,RU,1604195776
Thompson,55.74,-97.86,12.2,85,20,6.93,CA,1604195776
Maturin,9.75,-63.18,75.85,96,100,4.14,VE,1604195777
Tiznit Province,29.58,-9.5,67.14,28,0,2.42,MA,1604195777
São Miguel,-5.47,-35.37,78.8,88,20,4.7,BR,1604195777
Datia,25.67,78.47,66.79,27,0,6.55,IN,1604195777
Nizwá,22.93,57.53,61.2,29,0,2.95,OM,1604195777
Ganzhou,28.82,115.43,63.7,80,98,3.24,CN,1604195777
Chhātāpur,26.22,87.02,75.87,66,0,4.76,IN,1604195778
Henties Bay,-22.12,14.28,55.0,93,67,5.01,NA,1604195778
Severomuysk,56.15,113.43,4.53,93,99,4.83,RU,1604195778
Pingliang,35.54,106.69,47.97,44,97,11.23,CN,1604195577
San Joaquin,37.93,-121.3,75.2,27,1,2.37,US,1604195778
Bahía Honda,22.9,-83.16,78.26,85,0,10.42,CU,1604195778
Coyhaique,-45.58,-72.07,59.0,51,0,2.62,CL,1604195579
Springfield,37.22,-93.3,55.4,47,1,10.29,US,1604195658
Mougins,43.6,7.0,60.8,93,75,2.24,FR,1604195778
Ahipara,-35.17,173.17,69.73,62,14,4.68,NZ,1604195554
Saint-Philippe,-21.36,55.77,64.4,68,90,9.17,RE,1604195779
Dzilam González,21.28,-88.93,74.05,95,100,5.53,MX,1604195779
Chokurdakh,70.63,147.92,-8.0,91,80,7.63,RU,1604195681
Abhā,18.22,42.51,59.0,35,0,1.41,SA,1604195779
Aklavik,68.22,-135.01,-0.4,84,75,1.12,CA,1604195680
Port Hawkesbury,45.62,-61.35,34.0,50,1,11.41,CA,1604195780
Atessa,42.07,14.45,55.99,88,100,2.57,IT,1604195780
Nur-Sultan,51.18,71.45,17.6,92,0,2.24,KZ,1604195598
Walvis Bay,-22.96,14.51,55.0,87,9,8.05,NA,1604195780
Mount Isa,-20.73,139.5,91.4,13,0,6.93,AU,1604195552
Canyon,34.98,-101.92,57.99,53,74,11.18,US,1604195781
Port Hardy,50.7,-127.42,50.0,81,90,6.93,CA,1604195569
Nome,64.5,-165.41,26.6,68,1,4.7,US,1604195781
Imbituba,-28.24,-48.67,64.4,72,75,4.7,BR,1604195781
Buenos Aires,-34.61,-58.38,64.4,68,0,12.75,AR,1604195767
Avera,33.19,-82.53,59.0,87,90,6.93,US,1604195781
Bathsheba,13.22,-59.52,78.8,88,75,11.41,BB,1604195781
Chalchihuites,23.48,-103.88,56.5,41,0,5.08,MX,1604195781
Kapoeta,4.77,33.59,77.68,53,0,10.92,SS,1604195667
Charlestown,-32.95,151.67,73.0,74,38,5.01,AU,1604195774
Camacha,33.08,-16.33,66.2,93,20,6.93,PT,1604195782
Les Cayes,18.2,-73.75,79.07,82,100,2.1,HT,1604195782
Charagua,-19.8,-63.22,64.13,47,0,6.22,BO,1604195782
Innisfail,-17.53,146.03,89.01,28,0,1.99,AU,1604195782
Carutapera,-1.2,-46.02,77.59,85,1,6.4,BR,1604195782
Kuril'sk,45.23,147.88,51.06,68,99,7.61,RU,1604195783
Altamont,42.21,-121.74,53.6,50,1,9.17,US,1604195527
Vila Velha,-20.33,-40.29,71.6,83,90,10.29,BR,1604195783
Waipawa,-41.41,175.52,64.4,59,0,24.16,NZ,1604195674
Hamilton,39.18,-84.53,51.01,66,75,8.05,US,1604195636
Altay,47.87,88.12,28.15,78,0,2.24,CN,1604195783
Leningradskiy,69.38,178.42,15.87,88,35,6.98,RU,1604195783
Ulladulla,-35.35,150.47,59.0,100,90,18.34,AU,1604195784
Zatoka,46.07,30.47,46.4,100,90,11.18,UA,1604195784
Talnakh,69.49,88.4,21.2,85,75,26.84,RU,1604195783
Rovaniemi,66.5,25.72,32.0,96,90,8.05,FI,1604195784
Sorbhog,26.5,90.87,72.27,69,100,4.54,IN,1604195784
Magadan,59.57,150.8,33.15,94,100,8.86,RU,1604195784
Dubuque,42.48,-90.87,57.2,50,1,14.99,US,1604195648
La Santisima Trinidad,-14.83,-64.9,73.53,47,15,2.28,BO,1604195785
Vereeniging,-26.67,27.93,55.99,93,100,10.0,ZA,1604195785
Nsanje,-16.92,35.26,69.21,93,7,3.13,MW,1604195785
Tápiószőlős,47.3,19.85,35.6,100,81,4.7,HU,1604195785
Hammerfest,70.66,23.68,39.2,69,1,14.99,NO,1604195785
Japura,-0.32,102.35,82.89,77,100,2.98,ID,1604195785
Bhilwara,25.35,74.63,66.31,26,0,1.16,IN,1604195785
Måløy,61.94,5.11,52.0,76,98,35.57,NO,1604195786
Fortuna,40.6,-124.16,51.01,100,90,6.93,US,1604195580
Gīdolē,5.65,37.37,57.16,100,98,3.47,ET,1604195786
Quatre Cocos,-20.21,57.76,68.0,72,40,9.17,MU,1604195668
Nālūt,30.33,10.85,54.77,87,0,8.66,LY,1604195786
Itarema,-2.92,-39.92,79.02,84,44,12.39,BR,1604195786
Ruidoso,33.33,-105.67,53.6,25,1,6.93,US,1604195786
Englewood,39.65,-104.99,46.99,53,0,4.97,US,1604195523
Santiago del Estero,-27.8,-64.26,68.41,35,0,10.69,AR,1604195787
Shingū,33.73,135.98,69.8,56,75,9.17,JP,1604195587
Los Palmitos,9.38,-75.27,75.51,92,99,5.7,CO,1604195787
Oodweyne,9.41,45.06,71.76,56,45,5.3,SO,1604195787
Baturaja,-4.13,104.17,81.48,75,100,1.99,ID,1604195513
Agüimes,27.91,-15.45,78.8,24,0,12.75,ES,1604195787
Vila,42.03,-8.16,59.0,94,100,7.0,PT,1604195696
Inírida,3.87,-67.92,74.7,96,100,2.91,CO,1604195787
Hofn,64.25,-15.21,42.75,64,100,17.74,IS,1604195788
Düzce,40.84,31.16,52.59,71,90,5.5,TR,1604195788
Concarneau,47.88,-3.92,57.2,100,90,12.75,FR,1604195788
Bushehr,28.97,50.84,73.26,47,0,5.41,IR,1604195788
Simbahan,6.3,120.58,82.76,76,100,10.92,PH,1604195788
Pampa,35.54,-100.96,60.8,50,1,11.41,US,1604195788
Bobota,47.38,22.77,33.8,100,0,3.36,RO,1604195788
Salalah,17.02,54.09,71.6,37,0,3.36,OM,1604195789
Stornoway,58.21,-6.39,46.99,81,98,17.22,GB,1604195789
Clyde River,70.47,-68.59,10.4,85,1,18.34,CA,1604195554
Belaya Gora,68.53,146.42,-3.96,91,94,4.52,RU,1604195687
Eyl,7.98,49.82,77.7,77,3,7.96,SO,1604195554
Ust'-Omchug,61.15,149.63,23.65,95,100,2.3,RU,1604195789
Ust-Kuyga,70.02,135.6,-2.9,90,100,6.46,RU,1604195789
Durusu,41.31,28.68,55.0,76,75,21.92,TR,1604195789
Trybukhivtsi,49.04,25.46,46.0,90,18,7.0,UA,1604195790
Saint-Pierre,-21.34,55.48,64.4,68,90,9.17,RE,1604195790
Leshukonskoye,64.9,45.76,28.89,96,62,4.63,RU,1604195790
Abu Kamal,34.45,40.92,62.42,28,0,6.62,SY,1604195790
Auray,47.67,-2.99,57.99,100,90,11.41,FR,1604195607
Mazyr,52.05,29.25,45.57,85,100,14.09,BY,1604195790
Batemans Bay,-35.72,150.18,68.0,74,95,10.0,AU,1604195791
Semnan,35.57,53.4,51.51,45,0,1.12,IR,1604195791
Mauá,-23.67,-46.46,59.0,87,90,13.87,BR,1604195791
Kincardine,56.07,-3.72,46.4,75,0,13.87,GB,1604195791
Severo-Yeniseyskiy,60.37,93.04,13.44,96,100,6.46,RU,1604195791
Marfino,55.7,37.38,43.0,81,75,13.42,RU,1604195782
Muhos,64.81,25.99,35.6,93,90,9.17,FI,1604195792
Nuuk,64.18,-51.72,23.0,85,100,9.17,GL,1604195792
Cairns,-16.92,145.77,91.0,52,0,11.41,AU,1604195792
Whyalla,-33.03,137.58,69.8,60,0,8.05,AU,1604195547
Amurzet,47.7,131.1,44.02,59,100,18.88,RU,1604195779
Westport,41.14,-73.36,46.4,66,90,8.05,US,1604195645
Jaten,-7.58,110.9,80.82,77,35,6.6,ID,1604195793
Gamba,-2.65,10.0,76.5,90,100,4.0,GA,1604195793
Nhulunbuy,-12.23,136.77,91.4,52,75,12.75,AU,1604195793
Rawson,-43.3,-65.1,71.29,25,0,24.36,AR,1604195793
Ulundi,-28.34,31.42,58.87,91,100,2.62,ZA,1604195793
Pierre,44.37,-100.35,41.0,44,1,14.99,US,1604195591
Azare,11.68,10.19,74.82,25,29,8.39,NG,1604195794
Portree,57.41,-6.19,46.99,82,99,23.0,GB,1604195794
Brigantine,39.41,-74.36,46.99,64,1,8.23,US,1604195794
Uyuni,-20.46,-66.83,49.66,35,0,9.75,BO,1604195507
